13:30:18.217 logback [main] INFO  c.environment.EnvironmentApplication - Starting EnvironmentApplication on BAB1601339 with PID 5368 (D:\Users\environment\environment\target\classes started by pactera in D:\Users\environment\environment)
13:30:18.233 logback [main] INFO  c.environment.EnvironmentApplication - No active profile set, falling back to default profiles: default
13:30:18.373 logback [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@419c5f1a: startup date [Mon Jul 09 13:30:18 CST 2018]; root of context hierarchy
13:30:19.436 logback [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
13:30:20.722 logback [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.baomidou.springboot.mapper*]' package. Please check your configuration.
13:30:22.158 logback [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$c2770b36] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:30:23.070 logback [main] INFO  org.eclipse.jetty.util.log - Logging initialized @6886ms to org.eclipse.jetty.util.log.Slf4jLog
13:30:23.629 logback [main] INFO  o.s.b.c.e.j.JettyEmbeddedServletContainerFactory - Server initialized with port: 8080
13:30:23.632 logback [main] INFO  org.eclipse.jetty.server.Server - jetty-9.4.6.v20170531
13:30:23.914 logback [main] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
13:30:23.914 logback [main] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
13:30:23.914 logback [main] INFO  org.eclipse.jetty.server.session - Scavenging every 660000ms
13:30:23.929 logback [main] INFO  o.e.j.s.h.ContextHandler.application - Initializing Spring embedded WebApplicationContext
13:30:23.929 logback [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 5556 ms
13:30:24.507 logback [main] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
13:30:24.507 logback [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
13:30:24.507 logback [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
13:30:24.507 logback [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
13:30:24.507 logback [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
13:30:24.523 logback [main] INFO  o.e.j.server.handler.ContextHandler - Started o.s.b.c.e.j.JettyEmbeddedWebAppContext@2e807c54{/,[file:///C:/Users/pactera/AppData/Local/Temp/jetty-docbase.5919287820766831734.8080/, jar:file:/C:/Users/pactera/.m2/repository/io/springfox/springfox-swagger-ui/2.2.2/springfox-swagger-ui-2.2.2.jar!/META-INF/resources],AVAILABLE}
13:30:24.523 logback [main] INFO  org.eclipse.jetty.server.Server - Started @8390ms
13:30:25.552 logback [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
13:30:26.105 logback [main] INFO  o.s.jdbc.datasource.init.ScriptUtils - Executing SQL script from class path resource [init-sql/schema.sql]
13:30:28.712 logback [main] INFO  o.s.jdbc.datasource.init.ScriptUtils - Executed SQL script from class path resource [init-sql/schema.sql] in 2607 ms.
13:30:29.035 logback [main] WARN  c.b.m.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.environment.vo.EquipmentDataVo.
13:30:29.035 logback [main] WARN  c.b.m.mapper.AutoSqlInjector - class com.environment.vo.EquipmentDataVo ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
13:30:29.114 logback [main] WARN  c.b.m.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.environment.mypuls.entity.TEquipmentData.
13:30:29.114 logback [main] WARN  c.b.m.mapper.AutoSqlInjector - class com.environment.mypuls.entity.TEquipmentData ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
13:30:29.266 logback [main] WARN  c.b.m.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.environment.mypuls.entity.TEquipmentInfo2.
13:30:29.266 logback [main] WARN  c.b.m.mapper.AutoSqlInjector - class com.environment.mypuls.entity.TEquipmentInfo2 ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
13:30:29.330 logback [main] WARN  c.b.m.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.environment.mypuls.entity.TWpData2.
13:30:29.330 logback [main] WARN  c.b.m.mapper.AutoSqlInjector - class com.environment.mypuls.entity.TWpData2 ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
13:30:29.765 logback [main] WARN  c.b.m.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.environment.mypuls.entity.TWpOrderBuffer.
13:30:29.765 logback [main] WARN  c.b.m.mapper.AutoSqlInjector - class com.environment.mypuls.entity.TWpOrderBuffer ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
13:30:31.960 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/Equipment_data/selectEquipmentData4Chart.htm]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.environment.contrller.Equipment_dataContrller.selectEquipmentData4Chart(java.lang.String,java.lang.Integer)
13:30:31.964 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/Equipment_data/selectEquipmentData.htm]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.environment.contrller.Equipment_dataContrller.selectEquipmentData(int,int,java.lang.String,java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
13:30:31.965 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/Equipment_data/exportEquipmentData.htm]}" onto public void com.environment.contrller.Equipment_dataContrller.exportEquipmentData(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
13:30:31.965 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/Equipment_data/exportTag]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.environment.contrller.BaseTOAction.exportTag(javax.servlet.http.HttpServletRequest)
13:30:31.967 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/Equipment_info2/getEquipmentinfo2.htm]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.environment.contrller.Equipment_inif2Contrller.getEquipmentinfo2(java.lang.String)
13:30:31.968 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/Equipment_info2/updateEquipmentinfo2.htm]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.environment.contrller.Equipment_inif2Contrller.updateEquipmentinfo2(java.lang.String)
13:30:31.968 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/Equipment_info2/exportTag]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.environment.contrller.BaseTOAction.exportTag(javax.servlet.http.HttpServletRequest)
13:30:31.984 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index.htm]}" onto public org.springframework.web.servlet.ModelAndView com.environment.contrller.Index.index(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
13:30:31.985 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/main.htm]}" onto public org.springframework.web.servlet.ModelAndView com.environment.contrller.Index.main()
13:30:31.986 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/workbench/add.htm]}" onto public org.springframework.web.servlet.ModelAndView com.environment.contrller.Index.add(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
13:30:31.989 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login.htm]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.environment.contrller.Index.login(java.lang.String,java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
13:30:31.990 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/quit.htm]}" onto public org.springframework.web.servlet.ModelAndView com.environment.contrller.Index.quit()
13:30:31.990 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/baidumap/index.htm]}" onto public org.springframework.web.servlet.ModelAndView com.environment.contrller.Index.baidumapindex(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
13:30:31.991 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/baidumap/line.htm]}" onto public org.springframework.web.servlet.ModelAndView com.environment.contrller.Index.baidumapline(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
13:30:31.991 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/eqdateselect/index.htm]}" onto public org.springframework.web.servlet.ModelAndView com.environment.contrller.Index.eqdateselect(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
13:30:31.992 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/workbench/index.htm]}" onto public org.springframework.web.servlet.ModelAndView com.environment.contrller.Index.workbench(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
13:30:31.992 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/exportTag]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.environment.contrller.BaseTOAction.exportTag(javax.servlet.http.HttpServletRequest)
13:30:31.994 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/server/getEnvironmentData]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.environment.contrller.ServerController.getEnvironmentData(java.lang.String)
13:30:31.995 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/server/getEnvironmentData2]}" onto public java.lang.String com.environment.contrller.ServerController.getEnvironmentData2(java.lang.String)
13:30:31.996 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/server/exportTag]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.environment.contrller.BaseTOAction.exportTag(javax.servlet.http.HttpServletRequest)
13:30:31.997 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wp/command]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.environment.contrller.WpController.offonHandler(java.lang.String,java.lang.String,java.lang.String,java.lang.String)
13:30:31.997 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wp/state]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.environment.contrller.WpController.stateHandler(java.lang.String)
13:30:31.997 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wp/allData2]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.environment.contrller.WpController.allData2Handler()
13:30:31.999 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wp/oneDatas]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.environment.contrller.WpController.oneData2Handler(java.lang.String)
13:30:32.000 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/v2/api-docs],methods=[GET]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String)
13:30:32.004 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/configuration/security]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration()
